first_name,city,email,customer_id,order_id,order_date,shipped_date,product_name,list_price,quantity,net_revenue,order_year,order_month,cost_price,profit,profit_margin,Customer Segment,month_year
Basil,San Lorenzo,basil.ballard@yahoo.com,621,995,2017-07-11,2017-07-14,Trek Precaliber 16 Girls - 2017,209.99,1,167.99,2017,7,125.99,42.000000000000014,25.0,New,2017-07
Samual,Brentwood,samual.warner@gmail.com,971,900,2017-05-20,2017-05-22,Trek Precaliber 16 Boys - 2017,209.99,1,167.99,2017,5,125.99,42.000000000000014,25.0,New,2017-05
Kaila,Elmhurst,kaila.walters@msn.com,387,1266,2017-11-25,2017-11-27,Trek Precaliber 16 Girls - 2017,209.99,1,167.99,2017,11,125.99,42.000000000000014,25.0,New,2017-11
Augustus,Ballston Spa,augustus.steele@aol.com,404,964,2017-06-20,2017-06-22,Trek Precaliber 16 Girls - 2017,209.99,1,167.99,2017,6,125.99,42.000000000000014,25.0,New,2017-06
Bettye,Oswego,bettye.espinoza@yahoo.com,1041,1228,2017-11-04,2017-11-06,Haro Shredder 20 - 2017,209.99,1,167.99,2017,11,125.99,42.000000000000014,25.0,New,2017-11
Lizzette,Orchard Park,lizzette.stein@yahoo.com,19,1211,2017-10-27,2017-10-29,Haro Shredder 20 - 2017,209.99,1,167.99,2017,10,125.99,42.000000000000014,25.0,New,2017-10
Lloyd,Encino,lloyd.miranda@hotmail.com,752,1098,2017-08-28,2017-08-30,Trek Precaliber 12 Girls - 2017,189.99,1,170.99,2017,8,113.99,57.000000000000014,33.34,New,2017-08
Ebony,West Babylon,ebony.cotton@yahoo.com,1323,967,2017-06-21,2017-06-24,Trek Precaliber 12 Boys - 2017,189.99,1,170.99,2017,6,113.99,57.000000000000014,33.34,New,2017-06
Vernell,Monroe,vernell.goff@msn.com,556,986,2017-06-30,2017-07-01,Trek Precaliber 12 Boys - 2017,189.99,1,170.99,2017,6,113.99,57.000000000000014,33.34,New,2017-06
Carissa,Maspeth,carissa.foreman@msn.com,177,854,2017-04-22,2017-04-23,Trek Precaliber 12 Boys - 2017,189.99,1,170.99,2017,4,113.99,57.000000000000014,33.34,New,2017-04
Caroline,Richardson,caroline.jenkins@msn.com,1111,1176,2017-10-10,2017-10-11,Trek Precaliber 12 Boys - 2017,189.99,1,170.99,2017,10,113.99,57.000000000000014,33.34,New,2017-10
Maximina,Corpus Christi,maximina.hutchinson@hotmail.com,939,734,2017-02-26,2017-03-01,Sun Bicycles Lil Kitt'n - 2017,109.99,2,175.98,2017,2,65.99,44.0,25.0,Regular,2017-02
Hayden,Apple Valley,hayden.cross@gmail.com,302,1473,2018-03-30,2018-04-02,Sun Bicycles Lil Kitt'n - 2017,109.99,2,175.98,2018,3,65.99,44.0,25.0,Regular,2018-03
Ivelisse,Houston,ivelisse.nixon@aol.com,810,1137,2017-09-20,2017-09-23,Sun Bicycles Lil Kitt'n - 2017,109.99,2,175.98,2017,9,65.99,44.0,25.0,Regular,2017-09
Qiana,East Northport,qiana.jackson@gmail.com,1226,1208,2017-10-26,2017-10-27,Trek Precaliber 12 Boys - 2017,189.99,1,176.69,2017,10,113.99,62.7,35.49,New,2017-10
Sonja,Queensbury,sonja.walls@aol.com,1414,1144,2017-09-24,2017-09-27,Trek Precaliber 12 Girls - 2017,189.99,1,176.69,2017,9,113.99,62.7,35.49,New,2017-09
Jeannette,Forest Hills,jeannette.skinner@yahoo.com,1033,1286,2017-12-04,2017-12-06,Trek Precaliber 12 Boys - 2017,189.99,1,176.69,2017,12,113.99,62.7,35.49,New,2017-12
Jesica,Commack,jesica.fields@yahoo.com,343,688,2017-02-02,2017-02-05,Trek Precaliber 12 Girls - 2017,189.99,1,180.49,2017,2,113.99,66.50000000000001,36.84,New,2017-02
Laure,Wappingers Falls,laure.pena@yahoo.com,651,892,2017-05-15,2017-05-17,Trek Precaliber 12 Girls - 2017,189.99,1,180.49,2017,5,113.99,66.50000000000001,36.84,New,2017-05
Vito,Canandaigua,vito.pickett@hotmail.com,1158,983,2017-06-27,2017-06-29,Trek Precaliber 12 Girls - 2017,189.99,1,180.49,2017,6,113.99,66.50000000000001,36.84,New,2017-06
Phebe,Sunnyside,phebe.turner@aol.com,880,955,2017-06-17,2017-06-18,Trek Precaliber 12 Girls - 2017,189.99,1,180.49,2017,6,113.99,66.50000000000001,36.84,New,2017-06
Loraine,Scarsdale,loraine.sykes@yahoo.com,662,845,2017-04-17,2017-04-18,Trek Precaliber 12 Girls - 2017,189.99,1,180.49,2017,4,113.99,66.50000000000001,36.84,New,2017-04
Leif,San Angelo,leif.short@gmail.com,389,966,2017-06-20,2017-06-22,Trek Precaliber 12 Girls - 2017,189.99,1,180.49,2017,6,113.99,66.50000000000001,36.84,New,2017-06
Dwain,Smithtown,dwain.carlson@gmail.com,870,725,2017-02-19,2017-02-22,Trek Precaliber 16 Girls - 2017,209.99,1,188.99,2017,2,125.99,63.000000000000014,33.34,New,2017-02
Tomasa,East Elmhurst,tomasa.carson@aol.com,70,1041,2017-08-04,2017-08-05,Trek Precaliber 16 Boys - 2017,209.99,1,188.99,2017,8,125.99,63.000000000000014,33.34,New,2017-08
Jenee,Sacramento,jenee.rasmussen@hotmail.com,231,1296,2017-12-14,2017-12-15,Trek Precaliber 16 Girls - 2017,209.99,1,188.99,2017,12,125.99,63.000000000000014,33.34,New,2017-12
Rubin,Buffalo,rubin.decker@gmail.com,262,1285,2017-12-04,2017-12-07,Haro Shredder 20 Girls - 2017,209.99,1,188.99,2017,12,125.99,63.000000000000014,33.34,New,2017-12
Cristobal,Lawndale,cristobal.hutchinson@gmail.com,254,1138,2017-09-21,2017-09-22,Haro Shredder 20 Girls - 2017,209.99,1,188.99,2017,9,125.99,63.000000000000014,33.34,New,2017-09
Risa,Rocklin,risa.gallagher@yahoo.com,1091,1205,2017-10-26,2017-10-28,Haro Shredder 20 - 2017,209.99,1,188.99,2017,10,125.99,63.000000000000014,33.34,New,2017-10
Elmira,Spring Valley,elmira.levy@gmail.com,1126,1384,2018-02-08,2018-02-09,Trek Precaliber 16 Boys - 2017,209.99,1,188.99,2018,2,125.99,63.000000000000014,33.34,New,2018-02
Lucile,Campbell,lucile.manning@yahoo.com,1367,1248,2017-11-16,2017-11-18,Haro Shredder 20 - 2017,209.99,1,188.99,2017,11,125.99,63.000000000000014,33.34,New,2017-11
Barry,Auburn,barry.albert@gmail.com,1154,1444,2018-03-16,2018-03-19,Trek Precaliber 16 Girls - 2017,209.99,1,188.99,2018,3,125.99,63.000000000000014,33.34,New,2018-03
Lizzette,Orchard Park,lizzette.stein@yahoo.com,19,1211,2017-10-27,2017-10-29,Haro Shredder 20 Girls - 2017,209.99,1,188.99,2017,10,125.99,63.000000000000014,33.34,New,2017-10
Sylvester,Rocklin,sylvester.chan@hotmail.com,846,1316,2017-12-26,2017-12-27,Trek Precaliber 16 Girls - 2017,209.99,1,188.99,2017,12,125.99,63.000000000000014,33.34,New,2017-12
Lise,Hamburg,lise.alvarado@gmail.com,493,1069,2017-08-17,2017-08-18,Haro Shredder 20 Girls - 2017,209.99,1,188.99,2017,8,125.99,63.000000000000014,33.34,New,2017-08
Kenton,Canandaigua,kenton.hughes@gmail.com,1385,773,2017-03-11,2017-03-12,Haro Shredder 20 - 2017,209.99,1,188.99,2017,3,125.99,63.000000000000014,33.34,New,2017-03
Ara,San Carlos,ara.vazquez@msn.com,1153,649,2017-01-10,2017-01-13,Trek Precaliber 16 Girls - 2017,209.99,1,195.29,2017,1,125.99,69.3,35.49,New,2017-01
Gustavo,Port Washington,gustavo.gamble@msn.com,1269,1120,2017-09-10,2017-09-13,Haro Shredder 20 Girls - 2017,209.99,1,195.29,2017,9,125.99,69.3,35.49,New,2017-09
Rudolf,Maspeth,rudolf.moran@gmail.com,597,848,2017-04-18,2017-04-20,Haro Shredder 20 Girls - 2017,209.99,1,195.29,2017,4,125.99,69.3,35.49,New,2017-04
Abby,Amityville,abby.gamble@aol.com,75,1318,2017-12-27,2017-12-29,Haro Shredder 20 - 2017,209.99,1,195.29,2017,12,125.99,69.3,35.49,New,2017-12
Giselle,San Angelo,giselle.robles@hotmail.com,842,763,2017-03-08,2017-03-09,Trek Precaliber 16 Girls - 2017,209.99,1,195.29,2017,3,125.99,69.3,35.49,New,2017-03
Tena,Newburgh,tena.huber@gmail.com,547,1393,2018-02-14,2018-02-15,Haro Shredder 20 - 2017,209.99,1,195.29,2018,2,125.99,69.3,35.49,New,2018-02
Louis,Staten Island,louis.powell@aol.com,987,1400,2018-02-17,2018-02-18,Trek Precaliber 16 Girls - 2017,209.99,1,195.29,2018,2,125.99,69.3,35.49,New,2018-02
Lavina,Newburgh,lavina.dejesus@msn.com,126,1425,2018-03-07,2018-03-09,Haro Shredder 20 Girls - 2017,209.99,1,195.29,2018,3,125.99,69.3,35.49,New,2018-03
Carina,Wappingers Falls,carina.lynch@gmail.com,1229,1037,2017-07-31,2017-08-03,Haro Shredder 20 - 2017,209.99,1,195.29,2017,7,125.99,69.3,35.49,New,2017-07
Loan,Jackson Heights,loan.graham@yahoo.com,1278,902,2017-05-21,2017-05-22,Haro Shredder 20 - 2017,209.99,1,195.29,2017,5,125.99,69.3,35.49,New,2017-05
Tama,Hollis,tama.berg@hotmail.com,1304,1025,2017-07-23,2017-07-26,Trek Precaliber 16 Boys - 2017,209.99,1,195.29,2017,7,125.99,69.3,35.49,New,2017-07
Lekisha,Freeport,lekisha.pope@msn.com,1342,1209,2017-10-26,2017-10-29,Trek Precaliber 16 Boys - 2017,209.99,1,195.29,2017,10,125.99,69.3,35.49,New,2017-10
Nettie,South Ozone Park,nettie.mcdaniel@hotmail.com,168,1017,2017-07-20,2017-07-23,Trek Precaliber 16 Boys - 2017,209.99,1,195.29,2017,7,125.99,69.3,35.49,New,2017-07
Augustina,Mount Vernon,augustina.joyner@aol.com,425,1334,2018-01-07,2018-01-10,Sun Bicycles Lil Kitt'n - 2017,109.99,2,197.98,2018,1,65.99,66.0,33.34,Regular,2018-01
Jessika,San Pablo,jessika.bray@yahoo.com,244,1320,2017-12-28,2017-12-29,Haro Shredder 20 Girls - 2017,209.99,1,199.49,2017,12,125.99,73.50000000000001,36.84,New,2017-12
Ana,Anaheim,ana.palmer@yahoo.com,619,798,2017-03-26,2017-03-29,Trek Precaliber 16 Girls - 2017,209.99,1,199.49,2017,3,125.99,73.50000000000001,36.84,New,2017-03
Gabriella,Mount Vernon,gabriella.jones@hotmail.com,1139,851,2017-04-20,2017-04-22,Haro Shredder 20 Girls - 2017,209.99,1,199.49,2017,4,125.99,73.50000000000001,36.84,New,2017-04
Lakenya,San Lorenzo,lakenya.oliver@yahoo.com,1292,1289,2017-12-08,2017-12-10,Trek Precaliber 16 Boys - 2017,209.99,1,199.49,2017,12,125.99,73.50000000000001,36.84,New,2017-12
Gustavo,Port Washington,gustavo.gamble@msn.com,1269,1120,2017-09-10,2017-09-13,Haro Shredder Pro 20 - 2017,249.99,1,199.99,2017,9,149.99,50.0,25.0,New,2017-09
Clementine,Mcallen,clementine.mooney@yahoo.com,221,819,2017-04-04,2017-04-05,Haro Shredder Pro 20 - 2017,249.99,1,199.99,2017,4,149.99,50.0,25.0,New,2017-04
Bobbie,Desoto,bobbie.foster@yahoo.com,64,673,2017-01-26,2017-01-27,Sun Bicycles Revolutions 24 - 2017,250.99,1,200.79,2017,1,150.59,50.19999999999999,25.0,New,2017-01
Melanie,Liverpool,melanie.hayes@msn.com,73,937,2017-06-11,2017-06-13,Sun Bicycles Revolutions 24 - 2017,250.99,1,200.79,2017,6,150.59,50.19999999999999,25.0,New,2017-06
Nita,Port Chester,nita.guy@hotmail.com,1201,753,2017-03-05,2017-03-08,Sun Bicycles Revolutions 24 - 2017,250.99,1,200.79,2017,3,150.59,50.19999999999999,25.0,New,2017-03
Shiloh,West Babylon,shiloh.reeves@msn.com,1000,831,2017-04-11,2017-04-12,Sun Bicycles Revolutions 24 - Girl's - 2017,250.99,1,200.79,2017,4,150.59,50.19999999999999,25.0,New,2017-04
Mercy,Hollis,mercy.brown@msn.com,1206,880,2017-05-08,2017-05-10,Sun Bicycles Revolutions 24 - 2017,250.99,1,200.79,2017,5,150.59,50.19999999999999,25.0,New,2017-05
Ebony,West Babylon,ebony.cotton@yahoo.com,1323,967,2017-06-21,2017-06-24,Sun Bicycles Revolutions 24 - 2017,250.99,1,200.79,2017,6,150.59,50.19999999999999,25.0,New,2017-06
Luz,Fresno,luz.house@gmail.com,120,907,2017-05-24,2017-05-27,Sun Bicycles Lil Kitt'n - 2017,109.99,2,204.58,2017,5,65.99,72.60000000000002,35.49,Regular,2017-05
Deandrea,Yonkers,deandrea.vega@gmail.com,1145,989,2017-07-02,2017-07-03,Sun Bicycles Lil Kitt'n - 2017,109.99,2,204.58,2017,7,65.99,72.60000000000002,35.49,Regular,2017-07
Carina,Wappingers Falls,carina.lynch@gmail.com,1229,1037,2017-07-31,2017-08-03,Sun Bicycles Lil Kitt'n - 2017,109.99,2,208.98,2017,7,65.99,77.0,36.85,Regular,2017-07
Antony,Smithtown,antony.atkinson@msn.com,593,1202,2017-10-24,2017-10-25,Sun Bicycles Lil Kitt'n - 2017,109.99,2,208.98,2017,10,65.99,77.0,36.85,Regular,2017-10
Jenine,Fort Worth,jenine.crane@msn.com,551,354,2016-08-03,2016-08-06,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,8,161.99,54.0,25.0,New,2016-08
Charlyn,West Islip,charlyn.cantrell@yahoo.com,156,308,2016-07-11,2016-07-14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,7,161.99,54.0,25.0,New,2016-07
Lazaro,Sugar Land,lazaro.moran@gmail.com,526,67,2016-02-09,2016-02-10,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,2,161.99,54.0,25.0,New,2016-02
Danyell,Central Islip,danyell.dickerson@msn.com,941,319,2016-07-18,2016-07-21,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,7,161.99,54.0,25.0,New,2016-07
Grace,San Pablo,grace.madden@gmail.com,487,587,2016-12-06,2016-12-08,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,12,161.99,54.0,25.0,New,2016-12
Bart,Kingston,bart.hess@aol.com,399,446,2016-09-19,2016-09-20,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,9,161.99,54.0,25.0,New,2016-09
Alita,Uniondale,alita.salinas@hotmail.com,909,933,2017-06-07,2017-06-08,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2017,6,161.99,54.0,25.0,New,2017-06
Ophelia,Hopewell Junction,ophelia.rodgers@gmail.com,801,255,2016-06-03,2016-06-05,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,6,161.99,54.0,25.0,New,2016-06
Drucilla,Santa Clara,drucilla.gilliam@hotmail.com,1149,23,2016-01-16,2016-01-19,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,1,161.99,54.0,25.0,New,2016-01
Alane,San Diego,alane.mccarty@hotmail.com,697,471,2016-09-30,2016-10-01,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,9,161.99,54.0,25.0,New,2016-09
Elease,Oswego,elease.dejesus@gmail.com,902,864,2017-04-28,2017-04-29,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2017,4,161.99,54.0,25.0,New,2017-04
Ivette,Franklin Square,ivette.warren@gmail.com,984,479,2016-10-03,2016-10-04,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,10,161.99,54.0,25.0,New,2016-10
Sam,Baldwin,sam.lester@gmail.com,657,25,2016-01-18,2016-01-21,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,1,161.99,54.0,25.0,New,2016-01
Sam,Baldwin,sam.lester@gmail.com,657,25,2016-01-18,2016-01-21,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,1,161.99,54.0,25.0,New,2016-01
Ashlie,Monsey,ashlie.parrish@hotmail.com,891,371,2016-08-15,2016-08-18,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,8,161.99,54.0,25.0,New,2016-08
Whitney,Hamburg,whitney.cash@gmail.com,513,482,2016-10-05,2016-10-06,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,10,161.99,54.0,25.0,New,2016-10
Charise,Fresno,charise.burt@aol.com,311,1312,2017-12-25,2017-12-26,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2017,12,161.99,54.0,25.0,New,2017-12
Araceli,Fullerton,araceli.golden@msn.com,32,159,2016-04-04,2016-04-06,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,4,161.99,54.0,25.0,New,2016-04
Bee,Liverpool,bee.baker@aol.com,1039,428,2016-09-09,2016-09-10,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,9,161.99,54.0,25.0,New,2016-09
India,Huntington,india.barron@msn.com,799,1015,2017-07-19,2017-07-21,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2017,7,161.99,54.0,25.0,New,2017-07
Kecia,Santa Cruz,kecia.olsen@msn.com,712,495,2016-10-10,2016-10-13,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,10,161.99,54.0,25.0,New,2016-10
Julee,Richmond Hill,julee.woodard@yahoo.com,148,500,2016-10-11,2016-10-13,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,10,161.99,54.0,25.0,New,2016-10
Devin,Brentwood,devin.velazquez@aol.com,1264,140,2016-03-23,2016-03-26,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,3,161.99,54.0,25.0,New,2016-03
Lory,Bay Shore,lory.page@hotmail.com,155,513,2016-10-19,2016-10-21,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,10,161.99,54.0,25.0,New,2016-10
Jerome,Carmel,jerome.bolton@msn.com,409,133,2016-03-20,2016-03-21,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,3,161.99,54.0,25.0,New,2016-03
Augustus,Corona,augustus.schmidt@msn.com,664,521,2016-10-23,2016-10-25,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,10,161.99,54.0,25.0,New,2016-10
Emmitt,New York,emmitt.sanchez@hotmail.com,16,352,2016-08-03,2016-08-06,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,8,161.99,54.0,25.0,New,2016-08
Joshua,Ossining,joshua.berg@hotmail.com,1234,47,2016-01-29,2016-01-31,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,1,161.99,54.0,25.0,New,2016-01
Gwenn,Centereach,gwenn.melton@yahoo.com,740,117,2016-03-10,2016-03-11,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,3,161.99,54.0,25.0,New,2016-03
Lise,Vista,lise.hebert@gmail.com,1233,693,2017-02-05,2017-02-06,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2017,2,161.99,54.0,25.0,New,2017-02
Starr,Shirley,starr.schneider@aol.com,1369,115,2016-03-09,2016-03-11,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,3,161.99,54.0,25.0,New,2016-03
Lorraine,San Carlos,lorraine.marks@msn.com,1020,904,2017-05-23,2017-05-24,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2017,5,161.99,54.0,25.0,New,2017-05
Delana,Clifton Park,delana.wagner@aol.com,930,1111,2017-09-04,2017-09-05,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2017,9,161.99,54.0,25.0,New,2017-09
Lavona,Utica,lavona.austin@yahoo.com,732,294,2016-07-01,2016-07-02,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,7,161.99,54.0,25.0,New,2016-07
Romaine,Monsey,romaine.salazar@yahoo.com,750,344,2016-08-01,2016-08-02,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,8,161.99,54.0,25.0,New,2016-08
Rikki,Fort Worth,rikki.morrow@hotmail.com,1165,99,2016-02-29,2016-03-03,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,2,161.99,54.0,25.0,New,2016-02
Rikki,Fort Worth,rikki.morrow@hotmail.com,1165,99,2016-02-29,2016-03-03,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,215.99,2016,2,161.99,54.0,25.0,New,2016-02
Janna,Longview,janna.hayden@msn.com,885,298,2016-07-04,2016-07-07,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,7,161.99,54.0,25.0,New,2016-07
Joesph,Atwater,joesph.delacruz@aol.com,151,60,2016-02-06,2016-02-07,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2016,2,161.99,54.0,25.0,New,2016-02
Kathie,Queensbury,kathie.freeman@msn.com,41,1161,2017-10-01,2017-10-02,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,215.99,2017,10,161.99,54.0,25.0,New,2017-10
Malisa,Mount Vernon,malisa.mitchell@msn.com,787,1149,2017-09-27,2017-09-30,Haro Shredder Pro 20 - 2017,249.99,1,224.99,2017,9,149.99,75.0,33.33,New,2017-09
Shanita,Saint Albans,shanita.wiley@yahoo.com,1027,1314,2017-12-25,2017-12-28,Haro Shredder Pro 20 - 2017,249.99,1,224.99,2017,12,149.99,75.0,33.33,New,2017-12
Kerrie,Pittsford,kerrie.morton@hotmail.com,402,908,2017-05-25,2017-05-27,Haro Shredder Pro 20 - 2017,249.99,1,224.99,2017,5,149.99,75.0,33.33,New,2017-05
